Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-88.153,49.245,34.244,120.24,158.32,170.34,218.44,48.096,0.00045111,0.00052016,192.38,503.01,310.62,7.2325e-05,0,1
-87.841,54.27,41.21,140.28,194.39,210.42,274.55,64.128,0.0002893,0.00039826,324.65,695.39,370.74,0.00011563,1,1
-87.906,49.362,39.971,164.33,238.48,256.51,326.65,70.14,0.00031651,0.00043164,254.51,591.18,336.67,0.0001189,1,1
-88.065,55.471,40.235,116.23,166.33,178.36,228.46,50.1,0.00031765,0.0004181,218.44,539.08,320.64,0.00010323,0,0
-88.064,49.601,40.71,166.33,262.53,284.57,372.75,88.176,0.00026843,0.00035522,270.54,621.24,350.7,9.0852e-05,1,1
-88.173,52.627,37.558,112.22,156.31,168.34,218.44,50.1,0.00025689,0.00034154,236.47,561.12,324.65,8.708e-05,0,0
-87.905,56.384,39.923,128.26,192.38,210.42,264.53,54.108,0.00024139,0.00033135,190.38,448.9,258.52,9.0553e-05,0,0
-88.046,54.826,38.663,112.22,166.33,180.36,224.45,44.088,0.00040003,0.00045576,144.29,372.75,228.46,5.6383e-05,0,0
-88.05,55.852,38.991,142.28,222.44,242.48,312.63,70.14,0.00032519,0.00041734,162.32,420.84,258.52,9.2796e-05,0,1
-87.826,53.647,40.356,146.29,218.44,238.48,320.64,82.164,0.00022646,0.00035197,334.67,693.39,358.72,0.00013046,1,1
-88.161,50.76,36.237,138.28,190.38,204.41,258.52,54.108,0.00050773,0.00058738,162.32,432.87,270.54,8.1649e-05,0,0
-88.058,50.515,35.99,124.25,176.35,190.38,234.47,44.088,0.00021092,0.00028377,258.52,611.22,352.71,7.586e-05,0,0
-87.945,56.132,38.217,106.21,192.38,208.42,266.53,58.116,0.00037426,0.00042641,122.24,320.64,198.4,5.2314e-05,0,1
-88.067,53.355,38.141,106.21,146.29,158.32,200.4,42.084,0.00023466,0.00035494,252.51,575.15,322.65,0.00012258,0,0
-88.083,58.326,40.973,94.188,156.31,172.34,244.49,72.144,0.00030472,0.00041722,256.51,617.23,360.72,0.00011698,0,0
-87.861,54.57,40.008,140.28,202.4,220.44,268.54,48.096,0.00045413,0.00053297,218.44,555.11,336.67,8.3721e-05,0,1
-87.728,53.156,36.042,138.28,200.4,216.43,270.54,54.108,0.00032288,0.00039966,208.42,513.03,304.61,7.9108e-05,1,0
-88.203,57.168,40.716,134.27,198.4,214.43,274.55,60.12,0.00045346,0.00053023,148.3,388.78,240.48,7.7532e-05,1,1
-87.871,56.897,41.568,126.25,194.39,212.42,276.55,64.128,0.00021209,0.00029637,290.58,641.28,350.7,8.7759e-05,1,1
-87.74,57.774,42.025,152.3,232.46,258.52,336.67,78.156,0.00028912,0.00038036,306.61,663.33,356.71,9.6637e-05,1,1
-88.17,50.4,38.524,142.28,204.41,220.44,272.55,52.104,0.00029593,0.00037721,244.49,581.16,336.67,8.4659e-05,0,1
-88.043,52.713,35.136,130.26,186.37,202.4,268.54,66.132,0.00046535,0.00053539,160.32,428.86,268.54,7.2093e-05,1,0
-88.037,58.062,41.417,140.28,238.48,272.55,386.77,114.23,0.00025174,0.00034507,254.51,583.17,328.66,9.587e-05,1,1
-87.944,52.885,37.832,136.27,186.37,198.4,242.48,44.088,0.0003475,0.00046452,196.39,486.97,290.58,0.00011913,0,0
